;NumFeatures;HasExternalRiskEstimate;SpecialValues
7232;16;1;0
8033;17;1;1
462;16;1;1
6652;17;1;2
7714;16;1;0
9176;16;1;6
3;17;1;0
8681;13;1;0
1928;15;1;2
6500;17;1;0
4339;13;1;2
9017;13;1;3
313;12;1;0
1056;17;1;1
8382;14;1;2
2547;14;1;4
8985;15;1;1
7509;16;1;1
671;14;1;1
9695;14;1;1
8320;15;1;1
6307;18;1;2
5121;18;1;2
5727;16;1;1
7063;18;1;0
148;17;1;2
4132;14;1;0
8939;16;1;1
591;16;1;2
3658;17;1;0
3039;15;1;0
6706;17;1;2
3334;14;1;3
7231;16;1;2
6622;16;1;1
9910;16;1;1
8861;16;1;3
7328;15;1;0
4725;14;1;1
5682;16;1;1
2382;15;1;2
4669;16;1;1
2187;18;1;0
5136;17;1;1
9506;14;1;0
8117;19;1;2
8773;15;1;2
2598;16;1;3
9661;13;1;2
6357;15;1;2
4624;17;1;1
3408;15;1;0
5724;15;1;1
555;17;1;3
2107;16;1;1
3527;17;1;2
6489;17;1;0
10174;16;1;1
8604;16;1;0
5521;14;1;0
6407;17;1;1
3509;15;1;1
3287;17;1;1
7036;15;1;1
9986;17;1;1
3910;15;1;1
6144;12;1;0
10155;17;1;1
1994;16;1;1
1487;15;1;2
6114;18;1;2
2151;17;1;1
2656;16;1;1
599;18;1;2
2885;16;1;0
3357;15;1;0
8752;15;1;1
4076;17;1;0
10278;15;1;3
6453;15;1;1
344;17;1;1
10047;17;1;3
9505;17;1;0
8946;17;1;0
7989;19;1;1
8159;14;1;2
9902;17;1;0
5432;13;1;1
8165;17;1;1
4470;15;1;2
8444;15;1;1
7387;17;1;1
4478;16;1;2
10318;19;1;1
3450;18;1;2
7540;18;1;1
965;16;1;1
884;15;1;1
3215;16;1;1
9212;14;1;2
353;18;1;0
7493;16;1;1
4453;16;1;5
8286;18;1;2
9476;17;1;2
4877;17;1;2
157;17;1;1
3893;18;1;0
390;17;1;1
10272;16;1;1
5784;16;1;1
4587;17;1;1
356;16;1;2
9133;17;1;1
4286;16;1;1
1915;16;1;2
2843;15;1;0
3058;15;1;0
1917;18;1;0
7236;13;1;2
1607;14;1;1
7522;14;1;1
6428;16;1;2
9229;17;1;2
4202;16;1;1
7742;17;1;1
1575;15;1;0
3170;15;1;2
5586;13;1;1
1860;13;1;0
10153;15;1;3
4302;13;1;0
8667;13;1;0
660;14;1;1
5887;14;1;3
8312;17;1;1
8558;14;1;1
1506;17;1;1
8105;17;1;2
5827;17;1;0
9268;19;1;1
9895;13;1;1
5824;15;1;1
2376;16;1;2
6463;15;1;1
6615;16;1;2
2873;17;1;0
14;14;1;4
8326;19;1;0
4408;14;1;1
7877;17;1;1
5063;14;1;1
5147;18;1;2
0;15;1;1
4760;14;1;2
8303;18;1;1
6918;15;1;0
372;17;1;1
8804;17;1;1
5519;16;1;1
5535;15;1;0
480;16;1;0
8181;16;1;0
8771;18;1;8
3820;16;1;2
7743;17;1;0
5672;18;1;1
7729;13;1;0
144;17;1;0
7786;16;1;2
7790;16;1;0
1509;16;1;1
9059;17;1;0
8903;14;1;0
8250;15;1;0
9437;15;1;0
9044;11;1;1
10128;14;1;2
5004;15;1;1
1821;16;1;1
6275;16;1;2
1526;13;1;2
5159;18;1;1
3744;12;1;2
986;15;1;0
2672;13;1;2
2360;15;1;1
9842;14;1;1
7453;16;1;3
8913;13;1;1
288;15;1;0
6860;17;1;0
2669;16;1;1
737;15;1;2
4663;18;1;1
3886;15;1;2
8240;15;1;0
10313;13;1;0
5894;19;1;2
8409;12;1;0
339;12;1;2
5856;16;1;1
2535;17;1;1
8836;13;1;1
10022;14;1;1
4767;16;1;1
4924;18;1;1
10114;14;1;2
3557;12;1;2
110;17;1;2
