;ExternalRiskEstimate;MSinceOldestTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;MSinceMostRecentDelq;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;MaxDelq2PublicRecLast12M_6;MaxDelq2PublicRecLast12M_8;MaxDelq2PublicRecLast12M_9;MaxDelqEver_2;MaxDelqEver_5;MaxDelqEver_8
9760;0.02414439156221286;0.0;0.048027634734927604;0.0;0.04279519996554583;0.024736895290052505;0.0038746945002510053;0.035252315549420155;0.002920627527248143;0.0;0.005347065431327985;0.04387231692207888;0.018015605868032455;0.09205085213558477;0.06446969465915811;0.01836065909437784;0.0;0.0;0.0;0.0037551557449218564;0.0;0.0;0.011825282095170198;0.010799216448852955
4722;0.010105589730572878;0.005659435428872817;-0.033789418147731606;-0.027464701206838;0.0;0.0;0.0;0.049455610294040026;0.0;-0.020004418307479427;-0.047929655245615946;-0.015141586289708714;0.0;0.14151187299498186;0.0;0.041830037144841986;0.0;0.0;0.0571226475944972;0.012313009013758577;0.0;0.0;0.0;0.01455460309262896
4699;-0.0019785756400066473;0.0;0.0;-0.008281906984200532;-0.010185433765606891;-0.008233693365763616;-0.005277426470252134;0.03050965836821381;0.0045714086680414484;0.05144675282064376;-0.044761414017096976;-0.009729112097112046;-0.003910307105906347;0.08066690203897055;-0.02934581274170357;-0.031573414929024254;-0.006025208291089226;0.0;-0.017402839092347286;0.012873711635759004;0.0;0.0;-0.003080786727223871;0.01218961255671613
3809;0.0;-0.010017134438430726;-0.02832443950762671;0.0;0.012996907842529215;0.012279799289438023;0.0;0.04741528735338199;0.0;-0.01327032270423284;0.010807184935333022;0.045211096557951067;0.020253795931474132;0.03448215106336479;0.02504410885448602;-0.02025191436900632;0.0;0.0;0.057161080404109055;0.012486801325245267;0.0;0.0;0.0;0.01371152152709687
8402;0.005238673802381805;-0.012146642687237946;0.007243657735310639;-0.035617512995260094;-0.012003104388122849;-0.0067662428867857035;-0.005360517536602046;0.044309259363720585;0.0;-0.01610546957109512;0.011608943853649013;0.023239644050191906;0.012625487691578122;-0.0449907700389195;-0.005750121593789714;0.013517877948098493;-0.010402593474542343;0.0;0.05535345782058788;0.01333604972386078;0.0;0.0;-0.0030779852040465523;0.013498820397692152
757;0.007064583804507384;0.06945238498154752;0.06471235168039309;0.03032784228538636;0.009508932705547701;0.011167619531629744;0.012604885797832229;0.04177830916486639;0.0;0.0710915904544347;0.0;0.0;0.0;-0.0657318893937918;-0.031435258017511084;-0.023601953304489387;0.09596378858824611;0.0;0.06056334055605883;0.016921274031687417;0.0;0.0;0.0;0.014467787298315993
3732;0.0;-0.011107592012075312;0.07255130981429153;0.05635229150406504;-0.014374403625114579;-0.016546179169331182;0.0;0.017031155685885147;0.0;0.022397202657253118;0.09790635410315418;0.014070610830099417;0.0;0.04833990009583533;0.02219271612885454;0.01218374369167928;0.008879451794819915;-0.013267461608204162;0.01953144579158647;-0.013049305796359975;0.0;0.0;0.0;-0.012496046643101388
4562;0.02109047052414223;-0.10869161769731213;0.0160222909943067;-0.07878568890254357;0.028625993324491422;0.016871286561277565;-0.017932416723061645;0.017270077047107257;-0.008790217588787862;0.02706808377191025;-0.036471386203624605;0.003506223193649058;0.0;0.09764967493018535;0.0;0.03436857791393598;0.007282993755683934;0.02411418602099666;0.0326731671088547;0.0317219982356384;0.0;0.004947508728364587;0.00453227992784512;0.031589180301326555
8877;-0.003400965236089973;0.08146607597163852;0.08958204270019414;0.04164169971373676;-0.018441194267105956;-0.014099062744108968;0.0;-0.006989231124071843;0.0;0.059681874834750306;0.02086200990825977;0.026789307295708234;0.009036771369644786;-0.11954833797911925;-0.02930492969488009;-0.03281068231059795;0.0;0.014069853172894341;-0.028716626595145192;-0.022544076753632125;0.0;0.0;-0.004982259961574705;-0.021423129761663627
4993;0.013033674455572408;0.10632994204593763;0.05947441018398698;-0.06261301394505747;0.01906918300653666;0.0;0.0;0.014429365500519369;0.0;0.0;0.02899764464699771;0.021196856288888094;0.013895122967475197;0.07357211196500446;0.0;0.026566624069388645;0.0;0.0;0.0260554519736073;0.030861398088691705;0.0;0.0;0.0;0.025551388426452715
