;NumFeatures;HasExternalRiskEstimate;SpecialValues
7232;3;0;0
8033;4;0;0
462;3;0;0
6652;3;0;0
7714;3;0;0
9176;4;0;1
3;3;0;0
8681;2;0;0
1928;3;0;0
6500;4;0;0
4339;4;0;0
9017;1;0;0
313;3;0;0
1056;3;0;0
8382;3;0;0
2547;5;0;2
8985;4;0;0
7509;3;0;0
671;3;0;0
9695;2;0;0
8320;2;0;0
6307;3;0;0
5121;2;0;0
5727;5;0;0
7063;2;0;0
148;4;0;0
4132;4;0;0
8939;3;0;0
591;3;0;0
3658;4;0;0
3039;4;0;0
6706;4;0;0
3334;1;0;0
7231;5;0;0
6622;5;0;0
9910;1;0;0
8861;4;0;0
7328;4;0;0
4725;1;0;0
5682;4;0;0
2382;3;0;0
4669;2;0;0
2187;4;0;0
5136;4;0;0
9506;4;0;0
8117;5;0;0
8773;3;0;1
2598;4;0;0
9661;3;0;0
6357;1;0;0
4624;3;0;0
3408;3;0;0
5724;2;0;0
555;3;0;0
2107;3;0;0
3527;3;0;1
6489;5;0;0
10174;2;0;0
8604;5;0;0
5521;3;0;0
6407;3;0;0
3509;4;0;0
3287;2;0;0
7036;2;0;0
9986;2;0;0
3910;1;0;0
6144;1;0;0
10155;5;0;0
1994;3;0;0
1487;3;0;0
6114;4;0;0
2151;1;0;0
2656;4;0;0
599;2;0;0
2885;4;0;0
3357;3;0;0
8752;4;0;0
4076;4;0;0
10278;2;0;0
6453;4;0;0
344;3;0;0
10047;4;0;0
9505;3;0;0
8946;4;0;0
7989;4;0;0
8159;4;0;0
9902;3;0;0
5432;2;0;0
8165;3;0;0
4470;4;0;0
8444;1;0;0
7387;4;0;0
4478;5;0;0
10318;4;0;0
3450;3;0;0
7540;4;0;0
965;3;0;0
884;4;0;0
3215;3;0;1
9212;2;0;0
353;4;0;0
7493;4;0;0
4453;4;0;2
8286;4;0;0
9476;5;0;0
4877;4;0;0
157;4;0;0
3893;4;0;0
390;3;0;0
10272;4;0;0
5784;5;0;0
4587;5;0;0
356;2;0;1
9133;5;0;0
4286;2;0;0
1915;3;0;0
2843;4;0;0
3058;4;0;0
1917;3;0;0
7236;2;0;0
1607;2;0;0
7522;2;0;1
6428;4;0;0
9229;3;0;0
4202;3;0;0
7742;3;0;0
1575;1;0;0
3170;4;0;0
5586;2;0;0
1860;2;0;0
10153;4;0;1
4302;1;0;0
8667;4;0;0
660;3;0;0
5887;4;0;0
8312;3;0;0
8558;1;0;0
1506;3;0;0
8105;3;0;0
5827;4;0;0
9268;5;0;0
9895;2;0;0
5824;2;0;0
2376;2;0;0
6463;4;0;0
6615;3;0;0
2873;3;0;0
14;4;0;2
8326;4;0;0
4408;3;0;0
7877;3;0;0
5063;3;0;0
5147;3;0;0
0;3;0;0
4760;2;0;0
8303;4;0;0
6918;3;0;0
372;4;0;0
8804;3;0;0
5519;4;0;0
5535;4;0;0
480;4;0;0
8181;4;0;0
8771;4;0;2
3820;3;0;0
7743;4;0;0
5672;4;0;0
7729;3;0;0
144;4;0;0
7786;3;0;0
7790;3;0;0
1509;3;0;0
9059;4;0;0
8903;3;0;0
8250;2;0;0
9437;4;0;0
9044;2;0;0
10128;4;0;0
5004;3;0;0
1821;4;0;0
6275;3;0;0
1526;4;0;0
5159;4;0;0
3744;4;0;0
986;4;0;0
2672;2;0;0
2360;4;0;0
9842;2;0;0
7453;5;0;2
8913;2;0;0
288;2;0;0
6860;4;0;0
2669;5;0;0
737;4;0;0
4663;3;0;0
3886;3;0;1
8240;4;0;0
10313;3;0;0
5894;4;0;0
8409;4;0;0
339;2;0;0
5856;4;0;0
2535;4;0;0
8836;3;0;0
10022;2;0;0
4767;2;0;0
4924;3;0;0
10114;4;0;0
