;NumFeatures;HasExternalRiskEstimate;SpecialValues
7232;3;1;0
8033;4;1;1
462;3;1;0
6652;3;1;0
7714;3;1;0
9176;3;1;2
3;3;1;0
8681;3;1;0
1928;3;1;0
6500;4;1;0
4339;3;1;0
9017;3;1;0
313;3;1;0
1056;3;1;0
8382;4;1;0
2547;3;1;1
8985;4;1;0
7509;3;1;1
671;3;1;0
9695;3;1;0
8320;3;1;0
6307;3;1;0
5121;4;1;0
5727;4;1;0
7063;4;1;0
148;3;1;0
4132;3;1;0
8939;3;1;0
591;4;1;1
3658;3;1;0
3039;3;1;0
6706;3;1;1
3334;2;1;1
7231;3;1;0
6622;4;1;1
9910;3;1;0
8861;3;1;0
7328;4;1;0
4725;3;1;0
5682;3;1;0
2382;3;1;0
4669;3;1;0
2187;4;1;0
5136;4;1;0
9506;3;1;0
8117;3;1;0
8773;4;1;1
2598;3;1;0
9661;3;1;0
6357;3;1;0
4624;3;1;0
3408;4;1;0
5724;3;1;0
555;3;1;0
2107;3;1;0
3527;2;1;1
6489;3;1;0
10174;3;1;0
8604;3;1;0
5521;3;1;0
6407;3;1;0
3509;4;1;1
3287;3;1;0
7036;3;1;0
9986;3;1;0
3910;3;1;0
6144;3;1;0
10155;4;1;1
1994;3;1;0
1487;3;1;0
6114;4;1;0
2151;4;1;0
2656;3;1;1
599;4;1;1
2885;3;1;0
3357;3;1;0
8752;3;1;1
4076;3;1;0
10278;3;1;0
6453;3;1;0
344;3;1;0
10047;3;1;1
9505;3;1;0
8946;4;1;0
7989;3;1;0
8159;3;1;0
9902;4;1;0
5432;3;1;0
8165;3;1;0
4470;4;1;1
8444;3;1;0
7387;3;1;0
4478;3;1;1
10318;3;1;0
3450;3;1;0
7540;3;1;0
965;3;1;0
884;3;1;0
3215;3;1;0
9212;3;1;0
353;3;1;0
7493;4;1;1
4453;3;1;0
8286;3;1;1
9476;3;1;0
4877;3;1;0
157;3;1;0
3893;3;1;0
390;4;1;0
10272;3;1;0
5784;3;1;0
4587;4;1;1
356;3;1;0
9133;3;1;1
4286;3;1;0
1915;4;1;0
2843;3;1;0
3058;4;1;0
1917;3;1;0
7236;3;1;0
1607;4;1;0
7522;4;1;1
6428;4;1;0
9229;3;1;0
4202;3;1;0
7742;3;1;0
1575;3;1;0
3170;2;1;0
5586;3;1;0
1860;4;1;0
10153;3;1;0
4302;4;1;0
8667;3;1;0
660;3;1;0
5887;4;1;1
8312;3;1;0
8558;3;1;0
1506;3;1;0
8105;3;1;0
5827;4;1;0
9268;3;1;0
9895;4;1;0
5824;3;1;0
2376;3;1;1
6463;3;1;0
6615;3;1;1
2873;3;1;0
14;4;1;1
8326;3;1;0
4408;3;1;0
7877;2;1;0
5063;3;1;0
5147;4;1;1
0;4;1;0
4760;3;1;0
8303;3;1;0
6918;4;1;0
372;3;1;0
8804;3;1;0
5519;3;1;0
5535;4;1;0
480;3;1;0
8181;3;1;0
8771;4;1;3
3820;3;1;0
7743;3;1;0
5672;4;1;0
7729;3;1;0
144;3;1;0
7786;3;1;0
7790;3;1;0
1509;3;1;0
9059;3;1;0
8903;4;1;0
8250;4;1;0
9437;3;1;0
9044;3;1;0
10128;2;1;0
5004;3;1;0
1821;3;1;0
6275;3;1;0
1526;3;1;0
5159;4;1;1
3744;3;1;0
986;3;1;0
2672;3;1;0
2360;3;1;1
9842;3;1;0
7453;3;1;0
8913;3;1;0
288;3;1;0
6860;3;1;0
2669;3;1;1
737;4;1;1
4663;3;1;0
3886;3;1;0
8240;4;1;0
10313;3;1;0
5894;4;1;1
8409;4;1;0
339;4;1;0
5856;3;1;0
2535;3;1;1
8836;3;1;0
10022;4;1;1
4767;3;1;0
4924;3;1;0
10114;3;1;1
3557;3;1;0
110;4;1;1
3752;3;1;0
3797;3;1;0
2549;4;1;1
5696;4;1;0
8610;3;1;0
3477;4;1;1
4197;3;1;0
8406;3;1;0
3554;3;1;0
2905;3;1;0
2760;3;1;0
9134;3;1;0
7519;3;1;1
9553;4;1;1
3429;4;1;0
7674;3;1;1
999;3;1;0
4586;4;1;1
2444;3;1;1
3957;2;1;0
4929;3;1;0
7762;3;1;0
8647;4;1;0
590;4;1;1
6627;3;1;1
8005;3;1;0
9527;4;1;0
2103;3;1;0
9115;4;1;1
8753;3;1;1
8448;3;1;0
9456;3;1;0
697;3;1;0
1680;3;1;0
5267;4;1;0
8204;3;1;0
6864;3;1;0
1574;3;1;0
6096;3;1;0
3111;3;1;0
789;3;1;0
7992;4;1;0
1758;3;1;0
